Title,Status,Current Chapter,Latest Chapter,Release Days,Author,Genres
The Beginning After The End,Caught Up,176,176,x,TurtleMe,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Mature', 'Romance', 'School Life', 'Supernatural']"
Solo Leveling,Finished,x,179,x,Chu-Gong,"['Action', 'Adventure', 'Fantasy']"
